Target,Clues
mask,disappointment hide false appearance
whitewash,stalin
cover,white house hide
demo,new software washington
condemn,strange behavior
occult,light occult
survey,new classmate
watch,basketball game look
scan,newspaper headline
scan,x ray
peruse,please
thumb,report look
leaf,volume look
scrutinize,minute detail
look,forest search
prospect,job search
detect,high level
sense,room detect
sense,particle detector sense ionization detect
instantiate,certain dialect particular usage
instantiate,word instantiate certain dialect
produce,new play
offer,shakespeare offer king lear
obscure,big elm tree obscures
overshadow,tall tree house cast
eclipse,sun celestial body
occult,planet celestial body celestial body
mask,herb mask garlic taste
camouflage,enemy territory disguise natural surroundings
beat,hiker shine
glow,garden emit
scintillate,high energy photon
glow,strong bright color
blur,haze blur
refocus,light beam focus
dazzle,bright headlight clear vision intense light
beat,great intensity
monitor,air quality
monitor,police monitor move
sight,king men ridge catch sight
leer,young woman beach look malign expression
contemplate,navel look
groak,sausage look
peep,window look
glance,brief look
peek,brief look
inspect,please father
perambulate,selectman official inspection
vet,someone
consider,careful consideration
look,careful scrutiny
abacinate,red hot metal plate eye
observe,please
scream,fighter
backfire,old car backfire time emit loud noise
twang,guitar string
clang,loud noise
clangor,loud resonant noise
boom,voice boom deep hollow
drum,rain
crackle,rice krispies
beat,grandfather clock
resonate,sound resonates
tweet,small bird
glug,wine bottle
ping,low octane gasoline car engine
pink,car engine
sound,certain note
prepare,dissonant note consonant note
project,voice project
ring,uncle ring local church musical edification
toll,bell toll ring
blare,strident noise
resound,laughter ring
thud,front door
pop,champagne bottle sharp explosive noise
pop,champagne bottle
clink,champagne glass
tap,phone line spy tap telegraph wire
bug,hotel room telegraph wire
catch,n catch name perceive
get,time perceive
eavesdrop,jealous man wife conversation speaker knowledge
resinate,greek wine special flavor
taste,night distinguish flavor
make,ca n photograph detect
discriminate,different taste dish distinguish
savor,soup taste
taste,characteristic taste
smack,element suggestive
smell,passage smell element suggestive
disgust,spoil food disgust
sicken,diner upset
sugar,tea sweeten
mull,cider heat hot drink
come,upset experience orgasm
greet,loud
track,missile observe
roll,drum emit
block,normal function
kill,new shoe great pain
see,true nature
etch,leafless branch
flush,rosy splendor glow warm color
make,office
institute,institute proceeding
introduce,new place
introduce,exotic fruit new place
end,terrible news
produce,man make product
output,specific amount
grind,grind lenses camera shape
grind,grind design glass bowl
stamp,stamp needle form
beat,ploughshare shape
overproduce,country overproduce car
elaborate,bee elaborate honey basic element
put,considerable effort
bootleg,bootleg tape diva
generate,new manager
generate,computer bug
develop,potential customer generate
develop,new mobile phone generate
fire,fast generate electrical impulse
initiate,new program
yield,year crop
render,estate render
wreak,wreak havoc
raise,unemployment summon
conjure,wild bird air summon
call,mountain summon
summon,old friend
schematize,various reaction coherent fashion formulate regular order
cast,warm light
design,good excuse day conceive
preconceive,notion conceive beforehand
mythologize,son construct
trump,charge invent
see,ca n mind
see,mind
visualize,mathematician visualize form mental picture
envision,president picture
conceive,mental image
discover,roentgen x ray
design,new sale strategy
plot,new novel devise literary work
coin,strike coin form
strike,strike coin form
strike,medal form
spin,spider spin fine web form
design,graphic form
plan,new wing graphic form
create,artistic mean
create,schoenberg twelve tone music artistic mean
create,picasso cubism artistic mean
design,chanel famous suit skilled manner
run,errand conduct
pioneer,african heart transplant
introduce,new word processor
set,shock wave
draw,day draw
bring,birthday cake
precipitate,russia revolution
pioneer,graduate program woman student
inspire,recent work
provoke,couple evoke
pick,quarrel provoke
establish,new department
establish,trompe l oeil illusion establishes depth
pacify,u n bosnia fight violence
stage,invasion plan
mount,theater production necessary equipment
mount,necessary equipment
start,good breakfast
start,surprise attack
machinate,systematic planning
organize,systematic planning
devise,director office systematic planning
crop,land crop yield crop
counterfeit,dollar bill
forge,card
construct,electric brassiere warmer
cantilever,frank lloyd wright building construct
demolish,book demolishes old myth ruin
demolish,reputation ruin
demolish,student argument ruin
configure,new computer particular purpose
configure,particular purpose
strike,temporary structure theatrical set
recast,home state cast model anew
mold,rice ball specific function
shape,specific function
mound,mound earth form
rig,p temporary measure
uproot,political democracy
press,record press
cast,bronze sculpture form hot metal
recast,recast cast
bake,dry heat
fix,fix breakfast
spatchcock,guinea hen
devil,egg coat spicy paste
cook,n cook hot meal
precook,rice cook beforehand actual preparation wo n
concoct,strange mixture
sew,seamstress sew
cut,dress style certain fashion
style,certain fashion
alter,dress need
quilt,skirt stitch
fagot,wife ornament faggot stitch
work,work stone tool shape
work,metal shape
retread,old plot use
rack,rack leather work
garland,statue adorn
caparison,festive occasion
bead,wed gown
rib,sweater form vertical rib
loom,egypt
tissue,tissue textile
strike,strike fire
foliate,foliate metal hammer thin flat foil
extrude,extrude steel form
beautify,special day
smock,folk dancer shirt embellish straight line
prank,rose lawn dress
tinsel,snow flake tree adorn
stucco,stucco work
jewel,dress adorn precious stone
lard,lard meat
trim,christmas tree
trim,shop window
plume,helmet deck
festoon,public building
marble,marble paper paint
lacquer,china
rubricate,beautiful book place name
sculpt,hard material
build,new style
repaint,life paint particular subject
charge,banner place
represent,young girl
recapture,author recapture old idea
depict,scene depicts country life show
render,painting show
stylize,female head conventional style
map,venus
map,mother
portray,goya duchess alba
commend,painting commend artistic world
lipstick,cheek form
rule,margin mark
draw,lawyer office legal document
cross,
superscribe,upper part
write,computer program
trace,design copy original draw transparent sheet
trace,pattern copy original draw transparent sheet
back,computer file security copy
hectograph,hand out copy
clone,sheep nowadays multiple identical copy
recopy,homework copy
mimeograph,syllabus print copy
mimeo,syllabus print copy
crosshatch,area shade
color,warm tone
model,clay form
model,airplane construct
coin,coin phrase
compose,literary work
profile,article profile famous painter
paragraph,paper
spell,middle name
adopt,dramatic form
annotate,early edition famous novel critical comment
compose,beethoven
counterpoint,bach
set,music adapt different way
put,music adapt
reharmonize,different harmony
choreograph,balanchine stravinsky music compose dance step
dance,musical accompaniment
cast,young woman desdemona
recast,iago different role
stage,othello
set,africa
cinematize,cinematize history
execute,triple pirouette
interlude,guitar player beautiful improvisation
perform,horowitz carnegie hall
perform,gilbert sullivan
sightread,brilliant pianist
sightsing,difficult piece
play,carnegie hall certain location
play,broadway certain location
play,local movie theater
play,cat broadway
play,play favorite record
play,hour emit
play,beethoven
debut,new ballet covent
debut,young soprano metropolitan opera debut
debut,new song
premier,young composer critical success
premiere,young composer critical success
audition,broadway
computerize,car industry control
cybernate,age control
cybernate,factory control
play,gielgud hamlet
act,macbeth role play
play,husband master play
act,julius caesar
play,christmas carol
stooge,popular comedian act
support,olivier gielgud act play subordinate role
appear,gielgud
appear,hamlet london
play,mommy pretend playful activity
feint,shoot deceive mock action
enact,day act
reenact,day act
reenact,princeton
impersonate,madonna
portray,actor portrays
mime,apple act bodily movement
fiddle,zuckerman
play,long play
rag,old tune play
play,musical instrument
play,old recorder musical instrument
pipe,tune play
slur,beautiful passage sonata play
follow,frequent pitch change
sing along,local orchestra messiah
sing,brother sings
psalm,god
solmizate,voice teacher mi
carol,christmas day
render,beethoven
harp,saint saens
conduct,barenboim chicago year lead
conduct,bernstein mahler conductor lead musician
conduct,modern piece lead musician
replicate,brilliant performance magic trick
quadruplicate,bill reproduce fourfold
reprint,famous treatise print anew
reproduce,dvd player reproduces
reproduce,portrait recreate
reinvent,african american listener
reinvent,national health care
develop,new theory evolution work
develop,new kind artistic creation
develop,new technique artistic creation
build,modern nation
build,million dollar business
produce,bordeaux great red wine cultivate agricultural technique
produce,good ham parma agricultural technique
grow,agricultural technique
raise,agricultural technique
till,soil work land
landscape,son landscape good living
overcrop,excessive cultivation
plow,farmer jones
hoe,flower bed dig
imitate,passer reproduce behavior
copy,sibling reproduce behavior
mimic,satirical effect
sovietize,castro cuba country economic structure soviet union
follow,teenager
publish,long career work
publish,mozart n publish work
publish,royal couple divorce
republish,correction publish
offset,conference proceeding
engrave,letter carve
fringe,scarf adorn
landscape,landscape yard embellish
honeycomb,honeycomb pattern
sporulate,plant sporulate
produce,curious effect
produce,noxious vapor
bring,new president health care system
crank,monotonous manner
design,dupont chanel
create,new movement
write,complete form
cut,hole form
cut,trench form
cut,face form
raise,great noise
raise,cain great noise
cut,record record
cut,major title
demyelinate,nerve fiber myelin sheath
facilitate,stimulus facilitates impulse increase
construct,linguistic unit
blast,alp
chop,ground form
manufacture,gland manufacture specific substance
busk,young men plaza play music public place
substance,immune response substance material particular kind
chemistry,chemical composition
material,hard black material tangible substance physical object
stuff,tangible substance physical object
recycle,new product
hazmat,hazmat tunnel hazardous material warning sign
alloy,metallic element nonmetallic element
solution,homogeneous mixture liquid solution
acyl,acyl group acetyl group rco organic group
acyl group,acyl group acetyl group rco organic group
polystyrene,white foam rigid transparent thermoplastic
amino acid,various proportion common amino acid organic compound amino group carboxylic acid group
cfc,cfc cause depletion atmospheric ozone aerosol can
hydriodic acid,hydriodic acid strong acid hi yellow aqueous solution hydrogen iodide
base,various water soluble compound turn litmus
base metal,base metal
allotrope,different form
atrazine,european country synthetic compound agricultural herbicide
emulsion,oil water emulsion
ricin,toxic protein castor bean chemical reagent
rock,solid rock material earth crust
stone,england quarry material earth crust
gem,crystalline rock
stone,rarest stone crystalline rock
size,glutinous material stiffen fabric
ada,ada immunodeficiency disease
ada,ada human gene
acrylamide,certain carbohydrate high temperature white crystalline amide propenoic acid nervous system laboratory animal
alkali metal,alkali metal monovalent metal periodic table
protein,diet high large group nitrogenous organic compound essential constituent amino acid
filaggrin,specific target immune response rheumatoid arthritis main protein keratohyalin granule
adrenal cortical steroid,adrenal cortical steroid different condition steroid hormone adrenal cortex body immune response
kid,kid glove soft smooth leather young goat
brushwood,small branch
animal fat,fatty acid
cabinet wood,heavy cabinet wood dense wood
pencil,pencil graphite similar substance
pencil,artist favorite medium pencil graphite similar substance
cement,grey cement concrete pavement
allomorph,calcium carbonate occur allomorphs calcite different crystalline form chemical compound
dna,dna long linear polymer double helix genetic information
exon,intron sequence gene dna protein structure
junk dna,dna dna
ribonucleic acid,ribonucleic acid genetic material long linear polymer transmits genetic information dna certain chemical process
dew,dew water cool surface water vapor
chalk dust,teacher hand dust
dust,fine powdery material dry earth
dust,empty space measurable amount free microscopic particle solid material
element,medieval cosmology physical universe
air,air pollution
air,fresh air
breath,sour breath
compress air,power machine air
earth,loose soft material large part land surface
soil conditioner,soil conditioner chemical substance
electrolyte,proper amount conduct electricity
urine,urine liquid excretory product
water,water liquid excretory product
waste,waste material
waste material,waste material
scrap metal,scrap metal
slop,waste water chamber pot
fat,soft greasy substance organic tissue
preparation,commercial preparation
free radical,free radical high energy particle damage cell oxygen molecule nearby molecule
radical,free radical high energy particle damage cell oxygen molecule nearby molecule
fulvic acid,fluvial fulvic acid yellow brown humic substance ph condition
glyceride,fresh fat fatty acid free acid fatty acid fatty oil
cd,cd hiv
hemlock,socrates hemlock poisonous drug eurasian conium
homogenate,liver homogenate material
humic acid,humic acid dark brown humic substance ph value
ice,solid state
lactose,cow milk contain lactose glucose molecule galactose molecule
liquor,waste liquor liquid substance industrial process
manifold,lightweight paper carbon paper multiple copy
matchwood,rock wood small piece
slop,soft mud
vx gas,vx lethal nerve agent chemical warfare toxic liquid nervous system vx target area
newspaper,cheap paper wood pulp
system,static system oil physical chemistry different phase
system,hydrogen peroxide physical chemistry different phase
color,different color
product,nitric acid chemical substance chemical reaction
remover,paint remover
remover,rust remover
remover,hair remover
saltwater,saltwater water
staple,staple fiber natural fiber raw cotton
staple fiber,staple fiber natural fiber raw cotton
scribble block,british term sketch etc
intrinsic factor,intrinsic factor pernicious anemia b
hemoglobin,simpler hemoglobin red blood cell characteristic color transport oxygen body tissue
oxyhemoglobin,oxyhemoglobin transport oxygen bright red hemoglobin
toxoid,diphtheria toxoid bacterial toxin specific disease
solvent,liquid substance
sternutator,chemical substance
sternutatory,chemical substance
superoxide,cellular respiration superoxide anion univalent anion
superoxide anion,cellular respiration superoxide anion univalent anion
superoxide dismutase,free radical superoxide dismutase enzymes hydrogen peroxide
turquoise,blue turquoise grey green mineral copper aluminum phosphate
tyramine,maoi tyramine amino acid sympathomimetic action cola drink ripe cheese
volatile,volatile substance
firewood,firewood wood
knot,round piece
curare,curare act cholinergic transmission myoneural junction toxic alkaloid certain tropical south american tree powerful relaxant
wad,small mass soft material
electroceramic material,example electroceramic material high dielectric capacitor non volatile memory information storage solid electrolytes energy storage ceramic material magnetic property power line electrical component
black powder,black powder asia china mongol simple form china
dry snow,ski dry snow powder condition dry liquid water content
dry snow,dry snow dry liquid water content
comedogenic substance,regardless coconut oil strong comedogenic substance acne treatment
comedogenic,regardless coconut oil strong comedogenic substance acne treatment
comedogen,regardless coconut oil strong comedogenic substance acne treatment
ice melt,darling ice melter solid crystal
ice melter,darling ice melter solid crystal
stop leak,quick solution permanent repair
cellular concrete,confuse cellular different method lightweight aggregate clay aggregate cork granule
exaltolide,detect exaltolide macrocyclic lactone carbon atom musky scent
saturant,synthetic fiber jacket
cellular glass,depend cellular glass cellular foam glass cellular glass
myall wood,acacia myall wood fragrant timber australian small tree acacia
camphorate phenol,n swallow adverse neurological carbolic acid liquid petrolatum local anesthetic
lightener,bake lemon juice natural skin lightener
cerebroside,various organic lipid compound myelin sheath cerebrospinal neuron
lactoglobulin,bovine amino acid globular protein
engobe,greek pot clay slip metal oxide
amboceptor,term amboceptor anti sheep erythrocyte antibody hemolytic system complement fixation test immune body
hypertonic solution,hypertonic solution osmotic pressure salt concentration normal body cell
terpinene,isomeric hydrocarbon
,present location proximal pronoun demonstrative pronoun demonstrative determiner
,medial pronoun demonstrative pronoun demonstrative determiner demonstrative pronoun demonstrative determiner
somewhere,spain unknown location
home,canadian tariff lumber company
home,jersey
traffic pattern,traffic pattern hare
pattern,traffic pattern hare
soil,american troop japanese soil geographical area sovereign state
area,mountainous area particular geographical region indefinite boundary special purpose
country,bible particular geographical region indefinite boundary special purpose
atmosphere,great heat earth
air,earth
back beyond,inaccessible place
depth,africa remote part
depth,remote part
outer space,outer space earth atmosphere
space,outer space earth atmosphere
space,major milestone space exploration ussr sputnik earth earth atmosphere
intergalactic space,milky way travel intergalactic space
airspace,chinese airspace
backwater,economic backwater
barbary coast,tolerate barbary riotous night life san francisco gold rush
barren,africa
waste,trackless waste
frontier,andrew jackson day
battlefield,civil war battlefield
field,civil war battlefield
beat,old day regular route
begin,italian beginning
origin,jupiter
source,pittsburgh ohio
root,communism russian root
derivation,italian
derivation,turkish derivation
headwater,nile
point departure,san francisco
belt,high pressure specific condition
birthplace,early existence
march,welsh march england wale
place,particular purpose
property,white house particular purpose
center,particular activity
colony,nudist colony
nerve center,nerve center diamond industry amsterdam
circumference,full circumference boundary line
circumference,whole circumference boundary line
balk,billiard table
bomb site,bomb site
taxi rank,england taxi rank taxi park
capital,crime capital italy
capital,drug capital colombia
basin,flood control missouri entire geographical area
core,titanium core
navel,incas cuzco center point
city,troy great city urban area independent administrative district
downtown,birmingham central area commercial center
outskirt,houston
city,tax rate administrative district state charter
hub,parental supervision focal point event revolve
hub,economic hub focal point event revolve
chokepoint,rush hour
corner,rightfield corner
corner,southeastern corner mediterranean
corner,practice slavery remote area
county,kingdom territorial division local government
county,county plan new road administrative district
development,land small park development
housing development,residential area similar dwelling property developer
dig,archeological exploration
field,active military operation
theater,vietnam active military operation
distance,distant region
domain,europe
land,land territory
legal residence,legal residence permanent home principal establishment
home,particular time
place,particular time
honeymoon resort,niagra well know honeymoon resort
earth,heaven hell
ecliptic,planet rotate great circle apparent annual path earth orbit
terminal,anterior arch
end,three dimensional object
end,phone rang
surround,flat agricultural surround
medium,aqueous medium
set,perfect set ghost story
scenario,france reign
element,favorable environment
equator,hemisphere imaginary line earth great circle
field,practical work
field,princeton
ghetto,warsaw european city jew
green,golf course
ground,ground step
habitat,marine habitat
home ground,home ground
hatchery,park authority trout hatchery artificial condition fish egg
inferno,engine room
pit,christmas
dead drop,dead drop intelligence officer clandestine exchange intelligence information
high,high place
height,high place
brow,distant hill
home,basketball place
hot spot,world hot spot political unrest potential violence
turf,bureaucracy turf retirement system range
key,foul line basketball court different color
paint,foul line basketball court different color
line,enemy line
mecca,york young artist
meridian,great circle right angle
midair,ground level
orbit,celestial body
open air,open air
open,open air
panhandle,wheel northern panhandle virginia narrow strip
park,large area natural state public property
park,open land recreational use urban area
part,local environment
beeline,direct route
circuit,familiar name club circuit particular group people travel
circuit,lecture circuit particular group people travel
circuit,particular group people travel
circuit,international tennis circuit particular group people travel
peak,extreme point
tip,monadnock extreme point
summit,extreme point
point,whole street precise location
place,particular portion
position,customary location
site,specific sequence physical position
set,physical position
post,entrance post
station,sentry station
landmark,church steeple convenient landmark well know object particular landscape
right,right location right side
left,leave location leave side
back,normal viewer
rear,normal viewer
front,normal viewer
premise,premise land
radius,circular region
range,open range large tract open land
range,large tract open land
rearward,tank division direction
region,france spatial location
part,spatial location
region,outer space spatial location
region,penguin inhabit polar region large indefinite location earth
antipode,pole pole earth
right ascension,right ascension equal celestial equator vernal equinox hour circle specify position celestial sphere
entrepot,bahrain arabia india bc import duty
vicinity,asheville nearby region
locality,nearby region
neighborhood,immediate neighborhood nearby region
neck wood,nearby region
gold coast,chicago gold coast michigan rich neighborhood expensive home coastal area
place,chicago general vicinity
block,rectangular area
neighborhood,ethnic neighborhood
presence,immediate proximity
front,immediate proximity
safety,safe place
danger,dangerous place
sanctum,sanctum sanctorum inviolable privacy
sanctum sanctorum,sanctum sanctorum inviolable privacy
scene,action occurs
stage,peaceful negotiation
place,place
section,distinct region political area
section,jewish section distinct region political area
side,right triangle long side line segment plane figure
side,right side reference location
side,reference location
bedside,bedside space
line scrimmage,scrimmage line parallel goal line football linesman line american football
site,good site
space,laboratory floor space particular purpose
air,mid air
state,administrative district
stop,atlanta
stopover,chicago
bed,coal bed coal thick
field,diamond field africa geographic region
substrate,proper substrate
surface,two dimensional outer boundary three dimensional object
surface,dental surface two dimensional outer boundary three dimensional object
surface,distinct surface two dimensional outer boundary three dimensional object
tee,golf course
test ground,new nation socioeconomic theory laboratory inasmuch
laboratory,pakistan american troop laboratory inasmuch
top,uppermost side
top,top side uppermost side
top side,top side uppermost side
top,mower cut upper part
top,upper part
place,nice place
spot,bright spot
town,urban area
burg,life colloquial american term
hometown,principal residence
main street,main street liberal politician small town sinclair lewis
town,snow removal administrative division
terrain,rocky terrain specific characteristic military potential
plot,bean plot small area specific vegetation
patch,cabbage patch small area specific vegetation
patch,briar patch small area specific vegetation
vantage point,vantage point whole valley
way,way home
course,southern course general line
trend,northeastern trend coast general line
tendency,shoreward tendency general direction
trend,stock market general direction
whereabouts,general location
wilderness,natural condition
wild,natural condition
tape,record time foot race
yard,repair yard particular activity
bridgehead,enemy line hostile territory
foothold,british troop europe gibraltar hostile territory
beachhead,german anzio enemy shoreline amphibious operation
demilitarize zone,korea korea military force
continent,englishman continent european mainland
afghanistan,soviet troop afghanistan asia iran russia pakistan
myanmar,myanmar mountainous republic asia bengal
bujumbura,usumbura bujumbura burundi burundi
usumbura,usumbura bujumbura burundi burundi
santo domingo,santo domingo european settlement america hemisphere dominican
copenhagen,copenhagen paris denmark zealand
stockholm,nobel stockholm sweden sweden baltic
prussia,prussia political unification german state europe germany poland
athens,th century bc athens world greece athena patron goddess
middle east,western civilization mediterranean africa iran ancient civilization phoenicia babylon egypt judaism christianity islam th century
golan height,golan large area israel lebanon syria
golan,golan large area israel lebanon syria
zion,jerusalem zion david israelites whole hill jerusalem
ferrara,ferrara renaissance learn italy
yugoslavia,tito yugoslavia slovenia croatia macedonia bosnia herzegovina serbia montenegro europe adriatic yugoslavia marshal tito communist state
canada,canada america europeans canada
nunavut,nunavut inuit arctic canada inuit eastern part territory arctic archipelago
saskatchewan,vast field saskatchewan prairie prairie province canada
british empire,british empire britain world war indie canada guiana africa africa india australia zealand
down street,prime down westminster london
baghdad,baghdad great city muslim world capital iraq tigris
riviera,riviera europe popular resort coastal area spezia italy cannes france
georgetown,stabroek dutch georgetown port city guyana
stabroek,stabroek dutch georgetown port city guyana
pyongyang,pyongyang korea korea industrial center
tartary,genghis khan tartary pacific ocean vast geographical region europe asia mongol
tangier,tangier europe morocco strait gibraltar
natal,natal kwazulu natal africa indian ocean
azores,azores transatlantic air ship route island atlantic portugal
valencia,valencia spain spain mediterranean
darfur,darfur semi independent sultanate sudan impoverished region sudan
zurich,zurich german speak switzerland switzerland northern part
thailand,thailand official name siam asia isthmus kra malay peninsula
siam,thailand official name siam asia isthmus kra malay peninsula
tunisia,tunisia africa mediterranean france
union,northern state american civil war
union,lee maryland northern state american civil war
north,north superior resource northern state american civil war
alaska,alaska america th state
anchorage,anchorage alaska alaska
capitol hill,capitol hill washington c capitol build sits congress
liberty island,bedloe island liberty york manhattan statue liberty
elli island,million immigrant ellis york principal immigration station
borscht circuit,borscht circuit resort area catskill york jewish guest
cape hatteras,frequent storm drive ship hatteras hatteras atlantic carolina
promotion zone,traditional western chess pawn promote enrobe rank promotion zone chess board
isogloss,major isogloss english north midland numerous linguistic city locative boundary certain linguistic
regift,ugly scarf
raffle,bahamas
keep,paris
hold,master degree harvard abstract sense
keep,week worth
monopolize,opec monopolize oil
wield,wield power
,florida
take,salmon steak possession
kite,bad check
kite,check increase
stumble,long lose cousin restaurant encounter
rescue,rescue prisoner legal custody
purchase,new car financial transaction
buy,big department store financial transaction
get,toy store
clear,old model car
rent,rent
take,shall rome
sublet,summer lease
rent,year grant temporary use
hustle,free lunch
acquire,new pet
turn,good profit
glom,whitewater
withhold,son clean room hold
reserve,anticipation hold future use
devote,specific purpose
annex,hitler lithuania
fund,government fund basic research
fund,medical care plan accumulate recurrent liability
bankroll,east german economy sufficient fund
subsidize,europe
back,enterprise support
collect,outstanding debt
computerize,dictionary store
support,natural child support
support,college support
provide,large family
sponsor,health care plan
transfer,stock holding
negociate,negociate security
pas,official control
vest,property vest
trash,old chair dispose
junk,old car dispose
scrap,old computer dispose
waste,dirty water sewer dispose
work,extra pound
cull,sick member
dump,service sever
dump,rich man sever
retire,old coat dispose
save,old family photograph special use
motorize,rage equip
motorize,horseback equip motor vehicle
abandon,old car lot forsake
ditch,lover forsake
assign,new uniform
reallot,additional farm land allot
bequeath,death
propagate,characteristic transmit
pas,smith
ftp,ftp data use
ration,cigarette
ration,bread scarce commodity
cast,vote deposit
cast,ballot deposit
,miller daughter
,wo n
accept,please
accept,graduate study
admit,new member
fuel,bahrain
honor,honor check
dishonor,dishonor check draft refuse
procure,extra cigarette special effort
extract,dean new position
take,official process
recruit,lab director able crew
bid,campaign bid poor population serious effort
extort,company bos
bootleg,illicit product
sell,drug habit exchange
deaccession,important work
deal,livelihood
sell,livelihood
push,illegal good
transact,foreign government conduct business
deal,illegal material
deal,
deal,spade specific card
fetch,old print high price certain price
catch,breath
find,plato
happen,wonderful bakery
chance,interesting book
log,please
recuperate,loss regain
go dutch,dutch share expense
tithe,income
pay,debt discharge
pay,obligation discharge
pay,
owe,thesis owes
bounce,check refuse
remit,remit
grant,grant permission
allow,mandela
grant,grant land
prize,old photograph
replace,con artist rembrandt equivalent item
substitute,regular milk fat free milk equivalent item
interchange,context meaning equivalent item
haggle,dollar wrangle
bargain,beautiful rug
trade,old car part payment
trade,old car part payment
traffic,gold trade
traffic,traffic drug
treat,grandmother
award,free kick
donate,red cross
donate,donate money
donate,favorite charity
heap,work bestow large quantity
heap,large quantity
graduate,school graduate year confer academic degree
graduate,academic degree study
shower,praise expend abstract noun
trust,n trust wo n pay
save,salary accumulate money future use
wanton,money
spend,money pay
waste,insincere friend
burn,significant amount
splurge,new tv indulge oneself
economize,spare time use
conserve,summit use
rationalize,factory production profit structure scientific principle
freeload,young man refuse generosity
beg,beg money
roll,loan negociate additional fee
reconquer,previous war
seize,temporary possession legal authority
impound,custom agent illegal shipment temporary possession legal authority
confiscate,temporary possession legal authority
condemn,public use
sequester,enemy property
garnish,debtor wage legal order child support
hijack,judicial process
raid,boone pickens large company
claim,airline counter demand
claim,mr smith special tax exemption foreign resident demand
rustle,rustle cattle
mug,york night rob
pocket,pocket
profit,gain money
preserve,archeological finding
keep,old lady
conserve,national heritage
conserve,museum curator ancient manuscript
plastinate,doctor plastinate body research purpose
exhaust,saving deplete
store,store grain future use
store,future use
victual,long voyage
reposit,ancient tomb
store,n store
garage,n garage
ensile,ensile fodder cow store
retain,security deposit possible future use
refund,please money pay
reimburse,company reimburse professional travel
carry,kerosene heater
locate,midwest
unearth,cia
pick,tab pay
pick,high interest mortgage
foot,bill pay
acquire,effort
win,confidence effort
cozen,old man cheat
clear,business day proper bank account
make,new job business transaction
earn,new job business transaction
clear,business transaction
profit,vast experience
agree,white wine
clear,net profit
pay,saving certificate pay
derive,garden
embezzle,wealthy family care use
administer,critical remark present administer small portion
dole,money administer small portion
shell,pocket money child administer small portion
deal,small portion
dispense,machine dispense soft drink administer small portion
pool,common fund
impart,new skill student transmit
signalize,busy intersection traffic signal
offer,cold drink
offer,offering special
put,valuable painting
offer,new mortgage
market,new line beauty product commercial promotion
offer,swiss dealer
pledge,favorite radio station pay regular interval
bear,duchess
recapture,military force
capture,elementary particle celestial body new orbit
hive,bee hive honey pollen store
hive,information store
raise,specific purpose
levy,fine impose
reimpose,impose anew
tax,state tax alcohol
tax,clothing state levy
tariff,good charge
surtax,surtax luxury item extra tax
overtax,n overtax
combine,different source
administer,church sacrament
deposit,bank account
redeposit,cheque deposit
dip,small amount
tap,memory
recall,defective auto tire
call back,spoilt yoghurt
decommission,active service
smooth,peace negotiation
bilk,creditor evade payment
divest,real estate property
disinvest,africa
strip,nazis jew
unclothe,envy strip
inherit,good eyesight genetic transmission
inherit,new chairman previous chair
relinquish,long term house guest part
resign,throne part
grant,degree bestow
give,divorce bestow
grant,bill grant new right bestow
charge,credit card plastic money postpone payment
break,daughter fancy wedding
smash,financial market
enrich,oil boom local people
discount,hot cake
allow,camera store owner old camera grant
charge,demand payment
bill,night demand payment
charge,certain amount
pick,pocket pilfer
snitch,someone
plant,plant fish place
restock,pheasant stock
stock,stock coffee low amass future use particular occasion
borrow,may lawn mower
factor,thing factor company profitability
instill,child impart
transfuse,student impart
breathe,new life old house impart
tinsel,hollywood cheap brightness
immolate,aztecs human victim
market,household supply
provide,electrical heater
offer,conference center health spa
offer,private meeting room
stock,rifle equip
fret,musical instrument
alphabetize,cyril method slavic
railroad,railroad line
locate,los angeles
seat,concert hall
reseat,carnegie hall new seat
reseat,new seat
arm,u freedom fighter afghanistan
rearm,victor arm
furnish,biedermeyer
refurnish,different furniture
bed,inn keeper new arrival
fuel,fuel aircraft combustible substance
afford,interesting information
equip,proper clothing specific purpose
loot,earthquake people
sack,rome
plunder,famous author intellectual property
scrimp,scrimp subsist meager allowance
smuggle,border import custom duty
export,negative trade balance
pawn,grandfather
obligate,obligate money
hospitalize,blood pressure
entrust,general secret confer
trust,general secret confer
commit,god
disinfest,exterminator disinfests
rig,fraudulent manner
wire,electrical circuit
redispose,great loss dispose anew
pour,large amount
move,computer dispose
leave,nurse care
fire,oil fire
remember,show appreciation
flood,tennis shoe
return,compliment return
give,french door
land,opponent head
give,cd
top,conical roof
reflectorize,safety reason
outsource,company outsource flexible workforce outside supplier
retrofit,car company old model new carburetor original manufacture
machicolate,castle wall
translocate,safe environment wild animal
vest,vast fortune son place
enfeoff,large estate scotland feudal society
theme,particular theme
embattle,castle fortify
headquarter,jersey
roll,israel new product
pest,destructive insect attack food livestock etc
pest,common pesticide destructive insect attack food livestock etc
head,domestic animal
stayer,good stayer
kit,fox kit
survivor,cold winter
carnivore,tyrannosaurus rex large carnivore
carnivore,insectivorous plant
herbivore,sauropod dinosaur
cross,dissimilar parent different variety
phage,phage use bacterium machinery
slow virus,slow virus long time
seagrass,protective environment young fish various seaweed shallow bed
trophoblast,uterine wall trophoblast divide early development aid implantation uterine wall
roadkill,dead body
barn spider,barn spider e white book charlotte web tan spider orb web
itch mite,itch mites scabies whitish mite
underpart,white throat animal body
